devmac,type,strongest_signal,dur_sec,lat_km,lon_km,manuf
A8:40:F8:28:8E:AF,"Wi-Fi AP",-75,323,0.206,0.136,"HUMAX NETWORKS"
D8:B3:70:38:05:BC,"Wi-Fi Bridged",0,321,0.0,0.0,"Ubiquiti Inc"
02:CA:FE:28:35:A3,"Wi-Fi Ad-Hoc",0,316,0.0,0.0,Unknown
20:32:33:09:E2:5C,"Wi-Fi Client",-82,316,0.024,0.252,"SHENZHEN BILIAN ELECTRONIC CO.，LTD"
26:8D:CB:D4:48:DF,"Wi-Fi AP",-79,316,0.136,0.156,"Cisco Systems, Inc"
32:8D:CB:A0:70:35,"Wi-Fi Ad-Hoc",-68,316,0.136,0.156,"Cisco Meraki"
6C:AA:B3:5D:A5:95,"Wi-Fi AP",-69,316,0.138,0.313,"Ruckus Wireless"
6C:AA:B3:E6:A1:A1,"Wi-Fi AP",-69,316,0.138,0.313,"Ruckus Wireless"
AC:86:74:32:8E:E5,"Wi-Fi Ad-Hoc",0,316,0.0,0.0,"Open Mesh, Inc."
C2:A4:76:1D:8B:75,"Wi-Fi AP",-77,316,0.136,0.156,"MediaTek Inc"
C2:A4:76:59:AC:BD,"Wi-Fi AP",-58,316,0.101,0.113,"MediaTek Inc"
C2:A4:76:97:33:41,"Wi-Fi AP",-77,316,0.136,0.156,"MediaTek Inc"
C2:A4:76:FF:CB:89,"Wi-Fi AP",-68,316,0.136,0.156,"MediaTek Inc"
EA:63:DA:64:F9:B3,"Wi-Fi AP",-76,316,0.109,0.126,"Ubiquiti Inc"
EC:0E:C4:25:B3:18,"Wi-Fi AP",-56,316,0.188,0.133,"Hon Hai Precision Ind. Co.,Ltd."
18:FD:74:B9:A8:94,"Wi-Fi Client",-60,315,0.464,1.205,Routerboard.com
64:67:72:BF:50:BD,"Wi-Fi AP",-53,315,0.084,0.253,"SERCOMM PHILIPPINES INC"
B8:69:F4:83:11:5F,"Wi-Fi AP",-94,315,0.528,1.414,Routerboard.com
00:00:40:3D:2F:A9,"Wi-Fi AP",0,309,0.0,0.0,"APPLICON, INC."
AE:AE:19:44:2C:CD,"Wi-Fi AP",-62,308,0.036,0.135,Unknown
C2:A4:76:9F:50:A9,"Wi-Fi AP",-57,308,0.077,0.113,"MediaTek Inc"
C4:41:1E:AE:05:76,"Wi-Fi AP",-66,308,0.159,0.017,"Belkin International Inc."
EC:58:EA:78:A2:41,"Wi-Fi AP",-86,308,0.173,0.038,"Ruckus Wireless"
EC:58:EA:AD:E2:9C,"Wi-Fi AP",-85,308,0.173,0.038,"Ruckus Wireless"
CA:41:1E:36:BA:97,"Wi-Fi AP",-66,307,0.156,0.017,Unknown
DA:13:99:85:88:41,"Wi-Fi AP",-87,307,0.186,0.041,Unknown
