devmac,phyname,type,first_time,last_time,duration_sec,strongest_signal,avg_lat,avg_lon,bytes_data
DC:08:DA:15:5E:2C,IEEE802.11,"Wi-Fi AP",1774456204,1774456575,371,-80,35.7416010000129,-78.6492812500485,0
AC:DF:10:74:33:2F,IEEE802.11,"Wi-Fi AP",1774456205,1774456576,371,-82,35.7408218335039,-78.6493064167257,0
90:D3:CF:67:74:D8,IEEE802.11,"Wi-Fi AP",1774456204,1774456575,371,-72,35.7407286665005,-78.6493265833932,0
AC:DF:9F:47:1A:DC,IEEE802.11,"Wi-Fi AP",1774456205,1774456576,371,-82,35.7408218335039,-78.6493064167257,0
7A:B2:48:33:B7:CE,IEEE802.11,"Wi-Fi Bridged",1774455396,1774455763,367,0,0.0,0.0,693
D8:9E:F3:94:3D:33,IEEE802.11,"Wi-Fi Bridged",1774455407,1774455771,364,0,0.0,0.0,4666
8A:15:04:7C:FB:74,IEEE802.11,"Wi-Fi AP",1774455408,1774455771,363,-73,35.7810345578572,-78.641136889967,0
92:2A:A8:BE:C5:A2,IEEE802.11,"Wi-Fi AP",1774455416,1774455779,363,-93,35.7808347797871,-78.6406304984281,0
86:2A:A8:22:E7:1A,IEEE802.11,"Wi-Fi AP",1774455416,1774455779,363,-92,35.7808347797871,-78.6406304984281,0
8A:2A:A8:4C:57:50,IEEE802.11,"Wi-Fi AP",1774455416,1774455779,363,-93,35.7808347797871,-78.6406304984281,0
80:2A:A8:86:AA:80,IEEE802.11,"Wi-Fi AP",1774455416,1774455779,363,-91,35.7808347797871,-78.6406304984281,0
8E:2A:A8:ED:83:D3,IEEE802.11,"Wi-Fi AP",1774455416,1774455779,363,-93,35.7808347797871,-78.6406304984281,0
2C:67:BE:C9:A7:CE,IEEE802.11,"Wi-Fi AP",1774456209,1774456572,363,-86,35.7401200000501,-78.6495583319481,0
1A:67:BE:B8:4F:3A,IEEE802.11,"Wi-Fi AP",1774456209,1774456572,363,-86,35.7401200000501,-78.6495583319481,0
38:06:E6:9E:2D:F5,IEEE802.11,"Wi-Fi AP",1774455755,1774456110,355,-47,35.7706296322551,-78.6401587831389,0
50:9A:4C:1F:7F:35,IEEE802.11,"Wi-Fi Bridged",1774455411,1774455764,353,0,0.0,0.0,524
C4:41:1E:60:92:EC,IEEE802.11,"Wi-Fi AP",1774455415,1774455763,348,-60,35.7816489607518,-78.6401606117122,0
CA:41:1E:2A:06:59,IEEE802.11,"Wi-Fi AP",1774455415,1774455763,348,-61,35.7816156672084,-78.6401710469474,0
E2:70:EA:0F:1D:B4,IEEE802.11,"Wi-Fi AP",1774455423,1774455771,348,-56,35.7815877032889,-78.6401517830423,0
4C:AB:F8:C1:6F:78,IEEE802.11,"Wi-Fi AP",1774456221,1774456569,348,-80,35.7377141669306,-78.6498986269058,0
2E:AB:F8:D2:27:EA,IEEE802.11,"Wi-Fi AP",1774456221,1774456569,348,-80,35.7377141669306,-78.6498986269058,0
1A:84:06:2A:CB:4A,IEEE802.11,"Wi-Fi Bridged",1774455408,1774455755,347,0,0.0,0.0,17196
FC:EC:DA:C4:F9:4A,IEEE802.11,"Wi-Fi AP",1774455416,1774455763,347,-81,35.7810905,-78.6416425,0
8A:15:04:3D:AA:8F,IEEE802.11,"Wi-Fi AP",1774455423,1774455770,347,-62,35.7815844478882,-78.6400924064027,0
4C:A3:8F:EF:70:2B,IEEE802.11,"Wi-Fi AP",1774456237,1774456584,347,-74,35.7362393607382,-78.6507073849429,0
58:96:71:B2:48:71,IEEE802.11,"Wi-Fi AP",1774456221,1774456561,340,-89,35.7364081493475,-78.6506092084,0
58:96:71:EE:61:59,IEEE802.11,"Wi-Fi AP",1774456221,1774456561,340,-90,35.7363875511905,-78.6505635207537,0
46:6B:B8:94:B8:74,IEEE802.11,"Wi-Fi AP",1774456221,1774456561,340,-87,35.7373441113819,-78.6500063895377,0
6C:AA:B3:0F:94:0D,IEEE802.11,"Wi-Fi AP",1774456224,1774456564,340,-66,35.7360552909454,-78.6508247839769,0
6C:AA:B3:59:D5:E3,IEEE802.11,"Wi-Fi AP",1774456224,1774456564,340,-66,35.7360552909454,-78.6508247839769,0
6C:AA:B3:FF:0E:2F,IEEE802.11,"Wi-Fi AP",1774456221,1774456560,339,-54,35.7360290085951,-78.6510836580158,75
6C:AA:B3:A6:4F:51,IEEE802.11,"Wi-Fi AP",1774456221,1774456560,339,-53,35.7360734855091,-78.6511585051169,0
10:D7:B0:5D:94:F2,IEEE802.11,"Wi-Fi AP",1774456236,1774456575,339,-92,35.738225917782,-78.6498726783811,0
A4:BB:6D:0C:79:94,IEEE802.11,"Wi-Fi Bridged",1774455408,1774455740,332,0,0.0,0.0,1356
18:A5:FF:82:F5:CC,IEEE802.11,"Wi-Fi AP",1774456228,1774456560,332,-68,35.7369448953189,-78.6509870615524,0
18:A5:FF:4B:9C:EA,IEEE802.11,"Wi-Fi AP",1774456228,1774456560,332,-72,35.7367743751457,-78.6501974587197,0
E2:55:7D:39:36:64,IEEE802.11,"Wi-Fi Ad-Hoc",1774455423,1774455747,324,-76,35.7815195568387,-78.6403591954875,54
E0:63:DA:AB:F2:20,IEEE802.11,"Wi-Fi AP",1774456228,1774456552,324,-79,35.7362092230774,-78.6506201968885,0
E6:63:DA:DE:98:0E,IEEE802.11,"Wi-Fi AP",1774456228,1774456552,324,-81,35.7361636344618,-78.650654136118,0
58:96:71:28:31:26,IEEE802.11,"Wi-Fi AP",1774456228,1774456552,324,-70,35.73627310438,-78.6504627922642,62
A8:40:F8:36:08:C2,IEEE802.11,"Wi-Fi AP",1774456232,1774456556,324,-85,35.7361616803399,-78.6505865140646,0
A8:40:F8:AD:CE:FD,IEEE802.11,"Wi-Fi AP",1774456232,1774456556,324,-85,35.7362317225016,-78.6504658338982,0
1C:B0:44:69:0C:5F,IEEE802.11,"Wi-Fi AP",1774456232,1774456556,324,-80,35.7358065901276,-78.6506307447173,0
AC:86:74:0F:BD:1B,IEEE802.11,"Wi-Fi AP",1774456236,1774456560,324,-61,35.7359136221268,-78.6507303660782,0
70:7D:A1:5F:44:BA,IEEE802.11,"Wi-Fi AP",1774456228,1774456551,323,-75,35.735976408082,-78.6510565482685,0
1C:B0:44:78:62:17,IEEE802.11,"Wi-Fi AP",1774456237,1774456560,323,-75,35.736209642957,-78.6508341138732,0
A8:40:F8:28:8E:AF,IEEE802.11,"Wi-Fi AP",1774456237,1774456560,323,-75,35.7359885363447,-78.6506245376255,0
D8:B3:70:38:05:BC,IEEE802.11,"Wi-Fi Bridged",1774455411,1774455732,321,0,0.0,0.0,850
C2:A4:76:FF:CB:89,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-68,35.7357484171703,-78.6507894591223,0
6C:AA:B3:5D:A5:95,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-69,35.7359270782554,-78.6513698361322,0
6C:AA:B3:E6:A1:A1,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-69,35.7359399734051,-78.651338018638,0
26:8D:CB:D4:48:DF,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-79,35.7357699925394,-78.6507626119246,0
C2:A4:76:97:33:41,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-77,35.7358041433144,-78.6507473897531,0
C2:A4:76:1D:8B:75,IEEE802.11,"Wi-Fi AP",1774456232,1774456548,316,-77,35.7357829754175,-78.6507602174721,0
32:8D:CB:A0:70:35,IEEE802.11,"Wi-Fi Ad-Hoc",1774456232,1774456548,316,-68,35.7357699925394,-78.6507626119246,3100
20:32:33:09:E2:5C,IEEE802.11,"Wi-Fi Client",1774456236,1774456552,316,-82,35.7360955079122,-78.6515352518525,0
EA:63:DA:64:F9:B3,IEEE802.11,"Wi-Fi AP",1774456236,1774456552,316,-76,35.7359400843772,-78.6507447102486,0
02:CA:FE:28:35:A3,IEEE802.11,"Wi-Fi Ad-Hoc",1774456236,1774456552,316,0,0.0,0.0,0
AC:86:74:32:8E:E5,IEEE802.11,"Wi-Fi Ad-Hoc",1774456236,1774456552,316,0,0.0,0.0,0
C2:A4:76:59:AC:BD,IEEE802.11,"Wi-Fi AP",1774456236,1774456552,316,-58,35.7356886531425,-78.6507621951113,0
EC:0E:C4:25:B3:18,IEEE802.11,"Wi-Fi AP",1774456244,1774456560,316,-56,35.7358241313835,-78.6507133586998,0
64:67:72:BF:50:BD,IEEE802.11,"Wi-Fi AP",1774456236,1774456551,315,-53,35.7361725289087,-78.6520761912166,0
B8:69:F4:83:11:5F,IEEE802.11,"Wi-Fi AP",1774456679,1774456994,315,-94,35.7545315370405,-78.6528061109829,746
18:FD:74:B9:A8:94,IEEE802.11,"Wi-Fi Client",1774456679,1774456994,315,-60,35.7571620663632,-78.6615860150299,151472
00:00:40:3D:2F:A9,IEEE802.11,"Wi-Fi AP",1774456239,1774456548,309,0,0.0,0.0,0
AE:AE:19:44:2C:CD,IEEE802.11,"Wi-Fi AP",1774455415,1774455723,308,-62,35.7812345022677,-78.6409095015161,0
C4:41:1E:AE:05:76,IEEE802.11,"Wi-Fi AP",1774455464,1774455772,308,-66,35.7816984582603,-78.6400770973019,0
EC:58:EA:AD:E2:9C,IEEE802.11,"Wi-Fi AP",1774456229,1774456537,308,-85,35.7363390001224,-78.6504915013728,0
EC:58:EA:78:A2:41,IEEE802.11,"Wi-Fi AP",1774456229,1774456537,308,-86,35.7363390001224,-78.6504915013728,0
C2:A4:76:9F:50:A9,IEEE802.11,"Wi-Fi AP",1774456244,1774456552,308,-57,35.7356818792341,-78.6507624853655,0
CA:41:1E:36:BA:97,IEEE802.11,"Wi-Fi AP",1774455464,1774455771,307,-66,35.7816946060089,-78.6400775303194,0
DA:13:99:85:88:41,IEEE802.11,"Wi-Fi AP",1774456229,1774456536,307,-87,35.7363732502113,-78.6504893353748,0
C4:41:1E:5B:55:10,IEEE802.11,"Wi-Fi AP",1774455465,1774455765,300,-69,35.781697232313,-78.6400792122215,10
E2:55:6D:EE:C8:CC,IEEE802.11,"Wi-Fi AP",1774455467,1774455767,300,-69,35.7817261515247,-78.640077449633,0
E4:38:83:1F:F6:58,IEEE802.11,"Wi-Fi AP",1774455466,1774455766,300,-84,35.7816845535092,-78.6400829226957,0
EA:38:83:01:1E:74,IEEE802.11,"Wi-Fi AP",1774455466,1774455766,300,-72,35.7816856551127,-78.6400831955337,0
E2:55:6D:43:33:7A,IEEE802.11,"Wi-Fi Ad-Hoc",1774455467,1774455767,300,-68,35.7817261515247,-78.6400774445724,1226
E2:55:6D:B3:8E:00,IEEE802.11,"Wi-Fi AP",1774455467,1774455767,300,-69,35.7817168978797,-78.6400774947042,0
E2:55:6D:F8:6D:BA,IEEE802.11,"Wi-Fi AP",1774455467,1774455767,300,-70,35.7817167688473,-78.6400769624463,3156
E2:55:6D:CB:14:EF,IEEE802.11,"Wi-Fi AP",1774455467,1774455767,300,-69,35.7817043021025,-78.6400802240651,1550
E2:55:6D:60:53:37,IEEE802.11,"Wi-Fi AP",1774455467,1774455767,300,-71,35.781700768814,-78.6400826183859,0
E2:55:7D:FC:78:A1,IEEE802.11,"Wi-Fi AP",1774455471,1774455771,300,-58,35.7816813333442,-78.6400801019294,0
E2:55:6D:6E:DC:44,IEEE802.11,"Wi-Fi AP",1774455471,1774455771,300,-72,35.7816814193305,-78.6400788172919,0
E2:55:6D:F7:94:28,IEEE802.11,"Wi-Fi AP",1774455472,1774455772,300,-76,35.7816875500102,-78.640076622214,0
70:66:55:99:AD:59,IEEE802.11,"Wi-Fi Client",1774455474,1774455774,300,-71,35.7815530000071,-78.64006294455,0
BC:82:5D:F9:9B:D0,IEEE802.11,"Wi-Fi AP",1774456228,1774456528,300,-76,35.7358226391721,-78.6507194737561,0
0E:8D:CB:E7:33:96,IEEE802.11,"Wi-Fi AP",1774456232,1774456532,300,-77,35.7357720004079,-78.6507883675318,0
2A:8D:CB:16:5B:9E,IEEE802.11,"Wi-Fi AP",1774456232,1774456532,300,-68,35.735719444854,-78.6508208710985,0
A8:40:F8:E6:40:40,IEEE802.11,"Wi-Fi AP",1774456238,1774456538,300,-85,35.7359589165437,-78.6505647505502,0
00:25:DF:2B:1D:7B,IEEE802.11,"Wi-Fi AP",1774456240,1774456540,300,-92,35.7356520001629,-78.6507317670929,0
E2:55:6D:D9:5D:46,IEEE802.11,"Wi-Fi Ad-Hoc",1774455472,1774455771,299,-68,35.7816782701119,-78.6400795920357,1994
D4:A2:CD:4F:FC:8A,IEEE802.11,"Wi-Fi Bridged",1774455473,1774455771,298,0,0.0,0.0,726
E2:55:7D:AC:3C:0F,IEEE802.11,"Wi-Fi AP",1774455470,1774455763,293,-66,35.7816635333115,-78.6400803834134,0
E2:55:7D:78:23:EE,IEEE802.11,"Wi-Fi Ad-Hoc",1774455470,1774455763,293,-51,35.7817046841674,-78.6400734561846,56
E2:55:7D:1D:EC:50,IEEE802.11,"Wi-Fi AP",1774455470,1774455763,293,-61,35.7816661345496,-78.6400794872583,0
E2:55:A8:A8:4B:20,IEEE802.11,"Wi-Fi AP",1774455470,1774455763,293,-66,35.7816338000171,-78.6400718501973,418
E2:55:7D:59:3E:02,IEEE802.11,"Wi-Fi Ad-Hoc",1774455470,1774455763,293,-67,35.7816679364398,-78.64008162706,1882
E2:55:7D:8D:4D:03,IEEE802.11,"Wi-Fi AP",1774455470,1774455763,293,-51,35.7816961040938,-78.6400759861242,0
E2:55:6D:8F:DF:42,IEEE802.11,"Wi-Fi Ad-Hoc",1774455482,1774455775,293,-78,35.7816501222416,-78.6400807667591,4733
2A:8D:DB:04:6A:4C,IEEE802.11,"Wi-Fi AP",1774456236,1774456529,293,-67,35.7357667324184,-78.6509306539937,0
E2:55:6D:CA:BA:1D,IEEE802.11,"Wi-Fi AP",1774455467,1774455759,292,-73,35.7817109247506,-78.6400760969211,0
8A:15:04:7C:BF:00,IEEE802.11,"Wi-Fi Ad-Hoc",1774455471,1774455763,292,-53,35.7816692548618,-78.640080245167,2188
8A:15:04:E1:99:AF,IEEE802.11,"Wi-Fi AP",1774455471,1774455763,292,-53,35.7816763333016,-78.6400743889663,0
E2:55:7D:67:BF:B8,IEEE802.11,"Wi-Fi AP",1774455471,1774455763,292,-64,35.7817568436983,-78.6400586875613,0
E2:55:7D:C6:CD:CA,IEEE802.11,"Wi-Fi Ad-Hoc",1774455470,1774455762,292,-51,35.7816679364398,-78.64008162706,54
3C:5C:C4:2E:80:EE,IEEE802.11,"Wi-Fi Client",1774455471,1774455763,292,-57,35.7817328924294,-78.6400725753247,0
E2:55:6D:36:B3:60,IEEE802.11,"Wi-Fi Ad-Hoc",1774455472,1774455764,292,-68,35.7816746021711,-78.6400800537594,108
E2:55:6D:B4:FC:71,IEEE802.11,"Wi-Fi AP",1774455472,1774455764,292,-68,35.7816751613004,-78.6400778978582,168
8A:15:14:B2:B9:99,IEEE802.11,"Wi-Fi AP",1774455471,1774455763,292,-67,35.7816887707901,-78.6400809792542,0
8A:15:14:55:2D:0A,IEEE802.11,"Wi-Fi AP",1774455471,1774455763,292,-67,35.7816887707901,-78.6400809792542,3182
E2:55:6D:66:C3:08,IEEE802.11,"Wi-Fi AP",1774455472,1774455764,292,-75,35.7816746021711,-78.6400800537594,0
12:E8:A7:6C:13:25,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-87,35.7817340361805,-78.6400674275901,0
06:14:3E:C2:43:05,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-71,35.7817012643527,-78.6400779943203,0
26:A3:31:C6:64:45,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-75,35.7816814422768,-78.6400859615943,0
06:14:3E:76:BB:45,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-69,35.7817014712492,-78.6400793391474,0
26:A3:31:C6:5D:D5,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-71,35.7817022068704,-78.640076051772,0
2C:05:47:05:81:64,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-69,35.7816741388749,-78.6400822056251,0
F2:38:83:BB:08:2F,IEEE802.11,"Wi-Fi AP",1774455474,1774455766,292,-85,35.7816683511516,-78.640083208425,0
E2:55:7D:D8:93:80,IEEE802.11,"Wi-Fi AP",1774455479,1774455771,292,-60,35.7816471274796,-78.6400843137745,0
E2:55:7D:84:D2:21,IEEE802.11,"Wi-Fi AP",1774455478,1774455770,292,-51,35.7816149027593,-78.6400871875474,0
BE:E8:8C:C9:2B:E0,IEEE802.11,"Wi-Fi Bridged",1774455479,1774455771,292,0,0.0,0.0,14336
E2:55:6D:1A:E7:4F,IEEE802.11,"Wi-Fi AP",1774455480,1774455772,292,-87,35.7815450104474,-78.6400999270319,0
F6:92:BF:AB:D5:BF,IEEE802.11,"Wi-Fi AP",1774455479,1774455771,292,-87,35.7815643717017,-78.6401041795296,0
E2:55:6D:8A:20:B0,IEEE802.11,"Wi-Fi Ad-Hoc",1774455480,1774455772,292,-86,35.781559033277,-78.6400913556376,386
B4:61:E9:64:F2:79,IEEE802.11,"Wi-Fi Client",1774455786,1774456078,292,-46,35.7726534100645,-78.6400135631941,198885
38:06:E6:21:6C:45,IEEE802.11,"Wi-Fi AP",1774455788,1774456079,291,-63,35.7717525645008,-78.6399672929223,0
8A:15:24:5F:63:CB,IEEE802.11,"Wi-Fi Client",1774455475,1774455763,288,0,0.0,0.0,0
38:06:E6:C5:B1:37,IEEE802.11,"Wi-Fi Bridged",1774455754,1774456040,286,0,0.0,0.0,201893
48:B4:23:3E:91:E0,IEEE802.11,"Wi-Fi Client",1774455472,1774455757,285,-81,35.78168452088,-78.6400922082792,5442
F6:92:BF:9C:D7:F4,IEEE802.11,"Wi-Fi AP",1774455479,1774455764,285,-87,35.7816036110128,-78.64009829642,0
F4:92:BF:FA:3E:02,IEEE802.11,"Wi-Fi AP",1774455479,1774455764,285,-87,35.7815776875046,-78.6401164166681,175
F6:92:BF:77:96:8A,IEEE802.11,"Wi-Fi AP",1774455479,1774455764,285,-85,35.7815893332645,-78.6401022708398,0
E2:55:B8:E1:A1:4F,IEEE802.11,"Wi-Fi AP",1774455480,1774455765,285,-84,35.7816776605273,-78.6400799197947,0
E6:55:B8:6F:FC:77,IEEE802.11,"Wi-Fi AP",1774455480,1774455765,285,-84,35.7816622037499,-78.6400822716554,0
E2:55:6D:79:31:9A,IEEE802.11,"Wi-Fi AP",1774455482,1774455767,285,-79,35.7816720987856,-78.6400809013097,0
00:00:40:18:86:3E,IEEE802.11,"Wi-Fi AP",1774456232,1774456517,285,0,0.0,0.0,0
0E:03:CB:FC:A8:93,IEEE802.11,"Wi-Fi Device",1774456232,1774456517,285,0,0.0,0.0,2748
0E:03:CB:0A:5F:04,IEEE802.11,"Wi-Fi Device",1774456232,1774456517,285,0,0.0,0.0,2748
0E:03:CB:E3:D9:25,IEEE802.11,"Wi-Fi Device",1774456232,1774456517,285,0,0.0,0.0,2748
0E:03:CB:9C:83:B9,IEEE802.11,"Wi-Fi Device",1774456232,1774456517,285,0,0.0,0.0,2748
0E:03:CB:DE:C3:3B,IEEE802.11,"Wi-Fi Device",1774456232,1774456517,285,0,0.0,0.0,2748
0C:8D:DB:7E:E2:F0,IEEE802.11,"Wi-Fi AP",1774456244,1774456529,285,-66,35.7356720002909,-78.6507970154707,0
32:8D:DB:21:B0:B2,IEEE802.11,"Wi-Fi Ad-Hoc",1774456244,1774456529,285,-69,35.7357183892114,-78.6507721949238,424
0A:8D:DB:78:B5:AB,IEEE802.11,"Wi-Fi AP",1774456244,1774456529,285,-66,35.7357304000246,-78.6511213579377,0
06:8D:DB:80:F3:43,IEEE802.11,"Wi-Fi AP",1774456244,1774456529,285,-66,35.7357088627375,-78.6509716243756,0
02:8D:DB:5D:30:01,IEEE802.11,"Wi-Fi AP",1774456244,1774456529,285,-66,35.7356984044386,-78.6509737774534,0
26:8D:DB:62:F5:B5,IEEE802.11,"Wi-Fi AP",1774456244,1774456529,285,-69,35.7357407974988,-78.6511188195687,0
50:6F:0C:DF:E9:5A,IEEE802.11,"Wi-Fi AP",1774455069,1774455353,284,-85,35.7854177599805,-78.642789821467,0
E2:55:7D:C8:19:65,IEEE802.11,"Wi-Fi Ad-Hoc",1774455470,1774455754,284,-60,35.7817054560633,-78.6400756228263,278
E2:55:7D:89:DA:DE,IEEE802.11,"Wi-Fi AP",1774455471,1774455755,284,-59,35.781672988842,-78.6400815111792,0
E2:55:7D:C6:60:F2,IEEE802.11,"Wi-Fi Ad-Hoc",1774455471,1774455755,284,-63,35.7817263866477,-78.6400692267668,1550
16:CB:19:F0:43:33,IEEE802.11,"Wi-Fi AP",1774455471,1774455755,284,-71,35.7816614047263,-78.6400803572738,0
66:4E:D7:A2:CD:73,IEEE802.11,"Wi-Fi AP",1774455471,1774455755,284,-68,35.781691296284,-78.6400891575137,0
EA:9E:28:95:E1:2B,IEEE802.11,"Wi-Fi AP",1774455471,1774455755,284,-74,35.7817763927922,-78.6400604166754,0
E4:55:A8:C6:D3:F8,IEEE802.11,"Wi-Fi AP",1774455479,1774455763,284,-69,35.7816675208237,-78.6400711354567,138
E4:55:A8:01:7D:24,IEEE802.11,"Wi-Fi AP",1774455478,1774455762,284,-67,35.7815464000171,-78.6400917501559,560
E4:38:83:ED:26:61,IEEE802.11,"Wi-Fi AP",1774455479,1774455763,284,-76,35.7816673333385,-78.6400750000408,107
E2:55:A8:E1:9B:3F,IEEE802.11,"Wi-Fi AP",1774455479,1774455763,284,-68,35.7816594444766,-78.6400790555421,0
E2:55:B8:2A:BC:05,IEEE802.11,"Wi-Fi AP",1774455480,1774455764,284,-78,35.7816811131162,-78.6400784583396,0
